frame,id,3d_x,3d_y,3d_z
1,-1,6.94,28.58,2.0
1,-1,3.27,13.3,1.66
1,-1,14.85,2.29,13.31
1,-1,4.41,8.72,1.12
2,-1,6.86,28.59,2.0
2,-1,4.43,8.57,1.12
2,-1,14.83,2.18,13.24
2,-1,3.26,13.16,1.66
3,-1,6.79,28.59,2.02
3,-1,6.4,14.56,3.01
3,-1,14.8,2.1,13.15
3,-1,4.44,8.43,1.12
3,-1,3.24,12.98,1.68
4,-1,6.72,28.59,2.02
4,-1,4.43,8.27,1.15
4,-1,6.24,14.39,3.13
4,-1,14.77,1.97,13.07
4,-1,3.25,12.84,1.67
5,-1,6.12,14.19,3.24
5,-1,6.68,28.66,2.03
5,-1,14.74,1.89,13.01
5,-1,3.22,12.68,1.68
5,-1,4.43,8.12,1.15
6,-1,6.78,28.96,2.0
6,-1,14.7,1.78,12.94
6,-1,3.21,12.53,1.7
6,-1,4.48,7.99,1.09
7,-1,6.79,28.97,2.01
7,-1,3.2,12.38,1.71
7,-1,6.24,13.75,2.96
7,-1,14.67,1.68,12.87
7,-1,4.48,7.85,1.11
8,-1,6.85,28.96,2.04
8,-1,4.52,7.72,1.11
8,-1,14.64,1.6,12.83
8,-1,3.19,12.26,1.74
8,-1,6.34,13.48,3.05
9,-1,7.06,28.92,2.09
9,-1,4.52,7.58,1.09
9,-1,3.15,12.12,1.76
9,-1,6.31,13.21,2.94
9,-1,14.61,1.51,12.78
10,-1,3.14,11.98,1.74
10,-1,4.54,7.46,1.1
10,-1,14.6,1.44,12.75
10,-1,7.43,28.8,2.2
10,-1,6.38,12.96,2.84
11,-1,7.84,28.69,2.29
11,-1,3.05,11.85,1.71
11,-1,6.43,12.71,2.8
11,-1,4.56,7.33,1.1
11,-1,14.56,1.34,12.71
12,-1,8.18,28.61,2.39
12,-1,2.96,11.72,1.65
12,-1,4.6,7.19,1.1
12,-1,14.53,1.24,12.66
12,-1,6.41,12.45,2.78
13,-1,8.41,28.58,2.47
13,-1,6.42,12.19,2.75
13,-1,2.88,11.55,1.72
13,-1,4.61,7.08,1.1
13,-1,14.52,1.16,12.63
14,-1,8.55,28.57,2.52
14,-1,6.41,11.94,2.74
14,-1,4.61,6.96,1.11
14,-1,2.8,11.31,1.8
14,-1,14.5,1.09,12.59
15,-1,8.69,28.6,2.57
15,-1,6.42,11.7,2.72
15,-1,2.79,11.05,1.83
15,-1,4.6,6.83,1.12
15,-1,14.48,1.02,12.58
16,-1,8.78,28.64,2.61
16,-1,14.46,0.92,12.55
16,-1,4.61,6.72,1.1
16,-1,6.42,11.45,2.71
16,-1,2.81,10.75,1.88
17,-1,8.86,28.7,2.64
17,-1,4.63,6.61,1.1
17,-1,6.44,11.19,2.7
17,-1,14.44,0.85,12.52
17,-1,2.8,10.53,1.85
18,-1,8.92,28.76,2.65
18,-1,6.46,10.94,2.69
18,-1,4.65,6.49,1.1
18,-1,14.42,0.78,12.48
18,-1,2.78,10.3,1.88
19,-1,8.99,28.82,2.66
19,-1,4.67,6.39,1.08
19,-1,6.49,10.72,2.67
19,-1,14.39,0.72,12.43
19,-1,2.73,10.05,1.86
20,-1,9.06,28.87,2.67
20,-1,4.69,6.29,1.08
20,-1,6.52,10.47,2.66
20,-1,2.71,9.82,1.86
20,-1,14.37,0.68,12.39
21,-1,9.11,28.92,2.67
21,-1,6.55,10.23,2.65
21,-1,4.71,6.18,1.09
21,-1,14.33,0.61,12.36
21,-1,2.7,9.59,1.88
22,-1,9.14,28.98,2.68
22,-1,4.72,6.07,1.09
22,-1,6.57,10.03,2.63
