frame,id,3d_x,3d_y,3d_z,t_x,t_y,t_w,t_h,t_c,f_x,f_y,f_w,f_h,f_c
1,1,24.17,13.84,0.37,1759.0354614257812,716.8089294433594,26.0,26.0,-1,1783.2987060546875,540.3041462898254,50.0,50.0,-1
2,1,24.11,13.75,0.37,1756.6203002929688,712.7437133789062,26.0,26.0,-1,1779.8460083007808,540.0211338996887,50.0,50.0,-1
3,1,24.05,13.64,0.34,1754.2827758789062,707.8425903320312,26.0,26.0,-1,1775.1788330078125,539.0088839530945,50.0,50.0,-1
4,1,23.96,13.53,0.33,1751.8370361328125,703.3223876953125,26.0,26.0,-1,1768.9672241210938,538.7258334159851,50.0,50.0,-1
5,1,23.92,13.45,0.34,1749.71728515625,699.6747741699219,26.0,26.0,-1,1765.7303466796875,539.0734391212463,50.0,50.0,-1
6,1,23.87,13.35,0.34,1747.9146118164062,695.0896911621094,26.0,26.0,-1,1762.8057250976562,538.804057598114,50.0,50.0,-1
7,1,23.84,13.26,0.33,1745.7905883789062,691.1905212402344,26.0,26.0,-1,1760.472900390625,538.6904063224792,50.0,50.0,-1
8,1,23.81,13.19,0.36,1743.9190673828125,687.9112854003906,26.0,26.0,-1,1759.3616943359375,539.5689907073975,50.0,50.0,-1
9,1,23.8,13.11,0.39,1742.6029663085938,684.6314697265625,26.0,26.0,-1,1757.9783325195312,541.1487555503845,50.0,50.0,-1
10,1,23.77,13.02,0.41,1741.3688354492188,680.7642822265625,26.0,26.0,-1,1756.2157592773438,541.717556476593,50.0,50.0,-1
11,1,23.75,12.95,0.41,1739.8656616210938,677.4922485351562,26.0,26.0,-1,1754.7073364257812,541.6248111724854,50.0,50.0,-1
12,1,23.71,12.87,0.4,1738.562744140625,674.0333862304688,26.0,26.0,-1,1751.6483764648438,541.5156168937683,50.0,50.0,-1
13,1,23.7,12.8,0.43,1737.0985717773438,670.620361328125,26.0,26.0,-1,1751.4476928710938,542.4779891967773,50.0,50.0,-1
14,1,23.67,12.72,0.43,1735.8776245117188,667.3324584960938,26.0,26.0,-1,1749.185791015625,542.4630494117737,50.0,50.0,-1
15,1,23.62,12.67,0.42,1734.4563598632812,665.0221252441406,26.0,26.0,-1,1745.5845336914062,542.1886720657349,50.0,50.0,-1
16,1,23.59,12.6,0.41,1733.2701416015625,661.994384765625,26.0,26.0,-1,1743.2667236328125,541.7045397758484,50.0,50.0,-1
