frame,id,3d_x,3d_y,3d_z
1,18,22.16,29.0,10.08
1,17,21.05,28.76,9.57
1,16,18.14,28.53,5.48
1,15,1.46,28.9,0.63
1,14,24.12,28.78,1.29
1,13,20.48,28.97,0.22
1,12,5.54,25.26,2.93
1,11,13.74,26.32,0.39
1,10,16.64,29.01,4.02
1,9,2.95,28.9,0.91
2,18,22.13,28.98,10.05
2,17,21.11,28.76,9.57
2,16,18.12,28.46,5.47
2,15,1.63,28.88,0.66
2,14,23.85,28.76,1.31
2,13,20.52,28.95,0.24
2,12,5.53,25.2,2.97
2,11,13.91,26.39,0.38
2,10,16.48,28.96,3.89
2,9,2.87,28.92,0.95
3,18,22.11,28.98,10.03
3,17,21.15,28.78,9.56
3,16,18.15,28.39,5.42
3,15,1.8,28.9,0.67
3,14,23.69,28.75,1.33
3,13,20.59,28.94,0.29
3,12,5.55,25.14,3.03
3,11,14.07,26.44,0.36
3,10,16.33,28.91,3.78
3,9,2.8,28.94,0.97
4,18,22.07,28.98,10.0
4,17,21.19,28.82,9.55
4,16,18.15,28.37,5.33
4,15,1.92,28.92,0.68
4,14,23.61,28.77,1.36
4,13,20.65,28.92,0.3
4,12,5.53,25.09,3.06
4,11,14.22,26.52,0.36
4,10,16.16,28.77,3.65
4,9,2.72,28.96,0.99
5,18,22.02,29.0,9.97
5,17,21.24,28.85,9.54
5,16,18.07,28.25,5.25
5,15,2.04,28.92,0.66
5,14,23.57,28.8,1.38
5,13,20.71,28.92,0.3
5,12,5.55,25.03,3.08
5,11,14.38,26.58,0.35
5,10,16.02,28.61,3.54
5,9,2.64,28.94,0.99
6,18,21.99,28.99,9.97
6,17,21.28,28.87,9.52
6,16,17.86,28.18,5.11
6,14,23.55,28.83,1.39
6,13,20.75,28.92,0.31
6,12,5.55,24.97,3.12
6,11,14.53,26.65,0.36
6,10,15.83,28.55,3.44
6,9,2.56,28.91,1.01
7,17,21.3,28.89,9.49
7,16,17.81,28.52,5.02
7,14,23.54,28.83,1.41
7,13,20.8,28.93,0.33
7,12,5.56,24.91,3.19
7,11,14.66,26.7,0.36
7,10,15.62,28.54,3.31
7,9,2.48,28.89,1.03
8,17,21.28,28.96,9.45
8,16,17.36,28.34,5.04
8,14,23.54,28.82,1.41
8,13,20.83,28.93,0.33
8,12,5.57,24.86,3.23
8,11,14.8,26.76,0.35
8,10,15.41,28.54,3.18
8,9,2.29,28.92,0.99
9,17,21.29,29.0,9.42
9,16,17.22,28.47,5.0
9,14,23.54,28.82,1.41
9,13,20.92,28.88,0.35
9,12,5.56,24.81,3.24
9,11,14.92,26.83,0.35
9,10,15.2,28.54,3.06
9,9,2.29,28.97,1.01
10,17,21.32,29.01,9.4
10,16,17.13,28.5,4.94
10,14,23.53,28.81,1.4
10,13,21.0,28.76,0.36
10,12,5.57,24.75,3.28
10,11,15.05,26.87,0.34
10,10,15.01,28.52,2.95
10,9,2.27,28.98,1.03
11,17,21.35,29.0,9.38
11,16,17.03,28.56,4.87
11,14,23.53,28.79,1.38
11,13,21.1,28.63,0.37
11,12,5.56,24.7,3.3
11,11,15.17,26.93,0.35
